"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEred"	"kMEyellow"
"TRINITY_DN479_c0_g1_i2"	-0.549684805950423	0.781156505642034	0.904319852598768	0.0479858830114392	-0.288188060208292	0.253756827674145
"TRINITY_DN1188_c0_g1_i1"	-0.406517917593283	0.909086963541361	0.861848026710701	-0.0943277527818764	0.0428956409762552	-0.0314317705985519
"TRINITY_DN1127_c1_g1_i1"	-0.326385953703886	-0.292132482825577	0.227780229889634	0.225418783887273	-0.71883086611428	0.779570445616118
"TRINITY_DN1167_c0_g1_i1"	-0.113902498861538	0.919985093554437	0.599451226814126	-0.508624161239482	0.245365571636988	-0.339917698071651
"TRINITY_DN1178_c0_g1_i2"	-0.141844828162407	0.94991866642805	0.605134950599522	-0.277785436870498	0.33310923898087	-0.376200466922692
"TRINITY_DN1179_c0_g1_i1"	-0.0262912554717159	0.926066186347788	0.568533683048873	-0.401161370545254	0.371291806173934	-0.423354592580488
"TRINITY_DN845_c0_g1_i1"	-0.188073264226841	0.978644287318871	0.616495931076384	-0.268182430724073	0.307495050842882	-0.347954850886442
"TRINITY_DN861_c0_g1_i1"	-0.130923590125025	0.960961524492663	0.632630137449329	-0.431790138438167	0.275369168125137	-0.336894457313715
"TRINITY_DN804_c0_g1_i1"	-0.162209514142174	0.961902440312569	0.557849625184838	-0.203272313665707	0.365452172189638	-0.352225401417975
"TRINITY_DN825_c1_g1_i1"	-0.592825846846438	0.327317008338394	0.903506530951154	0.101737876329355	-0.493714209500324	0.521074362733168
"TRINITY_DN805_c0_g2_i1"	-0.308133864265968	-0.492413773734754	0.147234006024191	0.426889150607601	-0.889938539887669	0.781052002769142
"TRINITY_DN836_c0_g1_i2"	0.532511242997555	0.0349258539243487	-0.0658787832795114	-0.549323578781994	0.494616700510375	-0.564193527706811
"TRINITY_DN836_c0_g1_i1"	0.615557576849309	0.00116342908896944	-0.295032587804386	-0.496612093317202	0.614552497630208	-0.673644602330261
"TRINITY_DN868_c0_g1_i1"	-0.55799856183293	0.347321555190809	0.878572201557479	0.174558279406654	-0.402733235464047	0.448746801434024
"TRINITY_DN5114_c0_g1_i1"	-0.161432634440749	0.972941603828745	0.645630722681469	-0.460043013033756	0.284411385092095	-0.332825009314992
"TRINITY_DN5198_c0_g1_i1"	-0.388121927156056	0.751963082180473	0.946079271091296	-0.186040959551937	-0.175747212585305	0.130619263356054
"TRINITY_DN5180_c0_g1_i1"	-0.454972180459293	0.529630269423425	0.947001708915802	-0.192346060214679	-0.41829335417371	0.352643179781227
"TRINITY_DN5162_c0_g1_i1"	0.556759989031974	0.383735824572742	-0.198649463388986	-0.356057719972869	0.941870345970596	-0.893539966747951
"TRINITY_DN5174_c0_g1_i1"	-0.546618410806147	0.411904103625061	0.925338151913623	0.0789571529284592	-0.443145078016721	0.491360138821809
"TRINITY_DN5195_c0_g1_i1"	-0.370050708742858	0.860902859732541	0.560047117124091	-0.260531086835784	0.0449595543378855	-0.106289596495468
"TRINITY_DN5161_c0_g1_i1"	-0.172157107423233	0.943978673878256	0.561838274935927	-0.170128921211032	0.325554310137002	-0.318662474742984
"TRINITY_DN5118_c0_g1_i1"	-0.232881912388184	0.763345679606811	0.453931527930114	-0.0743534884006158	0.193958771716116	-0.167391948638247
"TRINITY_DN4288_c0_g1_i1"	0.607536132005516	0.30102430235083	-0.45122778261718	-0.332351340763136	0.970294138267989	-0.9244387681297
"TRINITY_DN4200_c0_g1_i1"	-0.138042607418358	0.964539388495805	0.568189131025672	-0.167154981306194	0.386613400553246	-0.376204747762246
"TRINITY_DN4264_c0_g1_i1"	0.727755511230206	0.362802170379153	-0.258443738553708	-0.3899141725727	0.889572338564466	-0.933889398307742
"TRINITY_DN4233_c0_g1_i1"	-0.209078048528156	0.949708797616168	0.569015327317158	-0.137276363724627	0.33538559694054	-0.30051220906221
"TRINITY_DN4238_c0_g1_i1"	-0.424187472717031	0.594100001672766	0.923505169836098	-0.131655729730749	-0.342893301093207	0.311035255210815
"TRINITY_DN4254_c0_g1_i1"	-0.130622933197074	0.961492653078203	0.613709581254365	-0.343458254825774	0.338300007927735	-0.370153234597583
"TRINITY_DN4243_c0_g1_i1"	-0.0939223298188006	0.957549284655699	0.616738232726794	-0.42502364979725	0.288850850806531	-0.379966494808284
