Accession_ID,kME_vals
Q8JIU7,0
Q8PDQ6,0
A0PJE2,0
P21265,0
Q8BMG8,0
Q8BMG8,0
O44001,0
Q9Y291,0
O70524,0
Q9GRW0,0
Q9GRW0,0
P51023,0
P23588,0
Q3B8C3,0
P14963,0
Q6PBK3,0
Q9VL14,0
P0DKM0,0
P63273,0
A5PK63,0
Q9NFP5,0
Q9V3B6,0
P50897,0
P35434,0
P30163,0
Q3T057,0
P17508,0
Q24407,0
P18749,0
Q9UT59,0
P80209,0
Q9DEX3,0
Q9DEX3,0
P90850,0
Q54NE6,0
O35343,0
Q9GRW0,0
Q9GRW0,0
Q6DGW9,0
Q6DGW9,0
Q3T169,0
Q9V5P6,0
Q9W5E1,0
Q9W5E1,0
Q7T2A3,0
Q2YDN6,0
P33502,0
O94826,0
B4KKD5,0
Q9VL18,0
Q9VL18,0
P10987,0
P10987,0
Q3MHW6,0
Q0MQD6,0
O96764,0
O96764,0
O96764,0
P86704,0
Q9VX98,0
Q9Z336,0
P24527,0
Q28Y14,0
P83565,0
O95352,0
Q9CQ92,0
Q9CQ92,0
P97878,0
Q08DE5,0
Q91Y78,0
P02088,0.278403869981946
P02088,0.198476007228193
P30405,0
O81187,0
Q36724,0
Q43199,0
Q58D56,0
Q3ZC15,0
P31674,0
Q791V5,0
O08849,0
P21902,0
P21902,0
P21902,0
P21902,0
Q27081,0
Q25008,0
P50750,0
Q8WZA0,0
O18499,0
P46778,0
P46778,0
Q5E988,0
Q7L5Y1,0
Q6AYH6,0
P22439,0
O99256,0
O99256,0
O99256,0
O99256,0
O99256,0
O99256,0
Q95028,0
Q95028,0
Q95028,0
C0KJQ4,0
C0KJQ4,0
C0KJQ4,0
C0KJQ4,0
P82968,0
P82968,0
P82968,0
C0KJQ4,0
Q8BZB2,0
Q08297,0
O97725,0
O97725,0
P15259,0
Q32KV0,0
Q8I6K0,0
Q8I6K0,0
Q32P85,0
Q3SZ63,0
P0C573,0
Q9Z2J0,0
Q9Z2J0,0
Q5RES6,0
Q2HJ57,0
P52030,0
P52030,0
Q9VNE7,0
Q60HD8,0
Q01604,0
Q9VJ26,0
Q9VJ26,0
Q9VJ26,0
P91622,0
P32865,0
P32865,0
Q26240,0
Q8N9Q2,0
Q8NDH3,0
O54988,0
O08815,0
O08815,0
Q6P026,0
Q6P026,0
Q6P026,0
Q9NH49,0
Q9CWM4,0
Q9CWM4,0
Q9CWM4,0
Q9CWM4,0
Q9CWM4,0
Q8AVJ2,0
Q9UK45,0
Q14157,0
Q9UK45,0
Q9NQP4,0
Q9UKK6,0
Q9UKK6,0
Q11005,0
Q71RI9,0
Q96D21,0
P05547,0
P21328,0
P67774,0
O76932,0
A9JRC7,0
P36368,0
P61257,0
P61257,0
C0KJQ4,0
C0KJQ4,0
Q962X9,0
Q962X9,0
Q3KPW1,0
Q0P5K3,0
C0KJQ4,0
Q9NQ29,0
Q76MZ1,0
Q76MZ1,0
Q1JPB0,0
